C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,C_COMMENT
15,Customer#000000015,"YtWggXoOLdwdo7b0y,BZaGUQMLJMX1Y,EC,6Dn",23,336875427601,2789,HOUSEHOLD,platelets. regular deposits detect asymptotes. blithely unusual packages nag slyly at the fluf
16,Customer#000000016,"cYiaeMLZSMAOQ2 d0W,",10,207816093107,4681,FURNITURE,kly silent courts. thinly regular theodolites sleep fluffily after
17,Customer#000000017,izrh 6jdqtp2eqdtbkswDD8SG4SzXruMfIXyR7,2,129706823487,6,AUTOMOBILE,packages wake! blithely even pint
18,Customer#000000018,3txGO AiuFux3zT0Z9NYaFRnZt,6,161552151315,5494,BUILDING,s sleep. carefully even instructions nag furiously alongside of t
19,Customer#000000019,"uc,3bHIx84H,wdrmLOjVsiqXCq2tr",18,283965265053,8915,HOUSEHOLD,nag. furiously careful packages are slyly at the accounts. furiously regular in
20,Customer#000000020,JrPk8Pqplj4Ne,22,329572348742,7603,FURNITURE,g alongside of the special excuses-- fluffily enticing packages wake
21,Customer#000000021,XYmVpr9yAHDEn,8,189026148344,1428,MACHINERY,quickly final accounts integrate blithely furiously u
22,Customer#000000022,"QI6p41,FNs5k7RZoCCVPUTkUdYpB",3,138065459701,592,MACHINERY,s nod furiously above the furiously ironic ideas.
23,Customer#000000023,OdY W13N7Be3OC5MpgfmcYss0Wn6TKT,3,133124728245,3332,HOUSEHOLD,deposits. special deposits cajole slyly. fluffily special deposits about the furiously
24,Customer#000000024,HXAFgIAyjxtdqwimt13Y3OZO 4xeLe7U8PqG,13,231278518031,9256,MACHINERY,into beans. fluffily final ideas haggle fluffily
25,Customer#000000025,Hp8GyFQgGHFYSilH5tBfe,12,226034683533,7134,FURNITURE,"y. accounts sleep ruthlessly according to the regular theodolites. unusual instructions sleep. ironic, final"
26,Customer#000000026,8ljrc5ZeMl7UciP,22,323634554837,5182,AUTOMOBILE,c requests use furiously ironic requests. slyly ironic dependencies us
27,Customer#000000027,IS8GIyxpBrLpMT0u7,3,131371932709,5680,BUILDING,about the carefully ironic pinto beans. accoun
28,Customer#000000028,"iVyg0daQ,Tha8x2WPWA9m2529m",8,187742411462,1007,FURNITURE,along the regular deposits. furiously final pac
29,Customer#000000029,"sJ5adtfyAkCK63df2,vF25zyQMVYE34uh",0,107732037342,7618,FURNITURE,its after the carefully final platelets x-ray against
30,Customer#000000030,nJDsELGAavU63Jl0c5NKsKfL8rIJQQkQnYL2QJY,1,117641655076,9321,BUILDING,lithely final requests. furiously unusual account
31,Customer#000000031,LUACbO0viaAv6eXOAebryDB xjVst,23,331978377094,5237,HOUSEHOLD,s use among the blithely pending depo
32,Customer#000000032,"jD2xZzi UmId,DCtNBLXKj9q0Tlp2iQ6ZcO3J",15,254309142194,3472,BUILDING,"cial ideas. final, furious requests across the e"
33,Customer#000000033,qFSlMuLucBmx9xnn5ib2csWUweg D,17,273753911280,0,AUTOMOBILE,s. slyly regular accounts are furiously. carefully pending requests
34,Customer#000000034,"Q6G9wZ6dnczmtOx509xgE,M2KV",15,253449685422,8590,HOUSEHOLD,"nder against the even, pending accounts. even"
35,Customer#000000035,TEjWGE4nBzJL2,17,275668887431,1228,HOUSEHOLD,"requests. special, express requests nag slyly furiousl"
36,Customer#000000036,"3TvCzjuPzpJ0,DdJ8kW5U",21,317046695769,4987,BUILDING,"haggle. enticing, quiet platelets grow quickly bold sheaves. carefully regular acc"
37,Customer#000000037,"7EV4Pwh,3SboctTWt",8,183852357162,0,FURNITURE,ilent packages are carefully among the deposits. furiousl
38,Customer#000000038,a5Ee5e9568R8RLP 2ap7,12,223068807212,6345,HOUSEHOLD,lar excuses. closely even asymptotes cajole blithely excuses. carefully silent pinto beans sleep carefully fin
39,Customer#000000039,"nnbRg,Pvy33dfkorYE FdeZ60",2,123874676509,6264,AUTOMOBILE,tions. slyly silent excuses slee
40,Customer#000000040,gOnGWAyhSV1ofv,3,136529158939,1335,BUILDING,rges impress after the slyly ironic courts. foxes are. blithely
41,Customer#000000041,IM9mzmyoxeBmvNw8lA7G3Ydska2nkZF,10,209177114011,271,HOUSEHOLD,"ly regular accounts hang bold, silent packages. unusual foxes haggle slyly above the special, final depo"
42,Customer#000000042,ziSrvyyBke,5,154163304175,8727,BUILDING,"ssly according to the pinto beans: carefully special requests across the even, pending accounts wake special"
43,Customer#000000043,ouSbjHk8lh5fKX3zGso3ZSIj9Aa3PoaFd,19,293166652897,9904,MACHINERY,ial requests: carefully pending foxes detect quickly. carefully final courts cajole quickly. carefully
44,Customer#000000044,"Oi,dOSPwDu4jo4x,,P85E0dmhZGvNtBwi",16,261902605375,7316,AUTOMOBILE,"r requests around the unusual, bold a"
45,Customer#000000045,"4v3OcpFgoOmMG,CbnF,4mdC",9,197152989917,9983,AUTOMOBILE,nto beans haggle slyly alongside of t
46,Customer#000000046,eaTXWWm10L9,6,163576812007,5745,AUTOMOBILE,"ctions. accounts sleep furiously even requests. regular, regular accounts cajole blithely around the final pa"
47,Customer#000000047,b0UgocSqEW5 gdVbhNT,2,124272719466,275,BUILDING,"ions. express, ironic instructions sleep furiously ironic ideas. furi"
48,Customer#000000048,0UU iPhBupFvemNB,0,105083485882,3793,BUILDING,"re fluffily pending foxes. pending, bold platelets sleep slyly. even platelets cajo"
49,Customer#000000049,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",10,209086314424,4574,FURNITURE,nusual foxes! fluffily pending packages maintain to the regular
50,Customer#000000050,9SzDYlkzxByyJ1QeTI o,6,166581123221,4266,MACHINERY,ts. furiously ironic accounts cajole furiously slyly ironic dinos.
51,Customer#000000051,"uR,wEaiTvo4",12,223448854251,856,FURNITURE,eposits. furiously regular requests integrate carefully packages. furious
52,Customer#000000052,7 QOqGqqSy9jfV51BC71jcHJSD0,11,211862845998,5630,HOUSEHOLD,ic platelets use evenly even accounts. stealthy theodolites cajole furiou
53,Customer#000000053,HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib,15,251688525363,4114,HOUSEHOLD,ar accounts are. even foxes are blithely. fluffily pending deposits boost
54,Customer#000000054,",k4vf 5vECGWFy,hosTE,",4,147763704745,869,AUTOMOBILE,"sual, silent accounts. furiously express accounts cajole special deposits. final, final accounts use furi"
55,Customer#000000055,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,10,201804408525,4572,MACHINERY,ully unusual packages wake bravely bold packages. unusual requests boost deposits! blithely ironic packages ab
56,Customer#000000056,BJYZYJQk4yD5B,10,208956856920,6531,FURNITURE,. notornis wake carefully. carefully fluffy requests are furiously even accounts. slyly expre
57,Customer#000000057,97XYbsuOPRXPWU,21,318353061650,4152,AUTOMOBILE,"ove the carefully special packages. even, unusual deposits sleep slyly pend"
58,Customer#000000058,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,13,232444932508,6478,HOUSEHOLD,"ideas. ironic ideas affix furiously express, final instructions. regular excuses use quickly e"
59,Customer#000000059,zLOCP0wh92OtBihgspOGl4,1,113555843112,3459,MACHINERY,ously final packages haggle blithely after the express deposits. furiou
60,Customer#000000060,FyodhjwMChsZmUz7Jz0H,12,224805755866,2742,MACHINERY,latelets. blithely unusual courts boost furiously about the packages. blithely final instruct
61,Customer#000000061,9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE,17,276265598599,1536,FURNITURE,egular packages shall have to impress along the
62,Customer#000000062,"upJK2Dnw13,",7,173619787059,596,MACHINERY,kly special dolphins. pinto beans are slyly. quickly regular accounts are furiously a
63,Customer#000000063,IXRSpVWWZraKII,21,319525529584,9331,AUTOMOBILE,ithely even accounts detect slyly above the fluffily ir
64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",3,135587317204,0,BUILDING,structions after the quietly ironic theodolites cajole be
65,Customer#000000065,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",23,337336235267,8795,AUTOMOBILE,y final foxes serve carefully. theodolites are carefully. pending i
66,Customer#000000066,XbsEqXH1ETbJYYtA1A,22,322133735094,243,HOUSEHOLD,le slyly accounts. carefully silent packages benea
67,Customer#000000067,rfG0cOgtr5W8 xILkwp9fpCS8,9,194031144356,8167,MACHINERY,"indle furiously final, even theodo"
68,Customer#000000068,"o8AibcCRkXvQFh8hF,7o",12,229188322411,6853,HOUSEHOLD,pending pinto beans impress realms. final dependencies
69,Customer#000000069,Ltx17nO9Wwhtdbe9QZVxNgP98V7xW97uvSH1prEw,9,192259785670,1709,HOUSEHOLD,thely final ideas around the quickly final dependencies affix carefully quickly final theodolites. final accounts c
70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,22,328281072832,4868,FURNITURE,fter the special asymptotes. ideas after the unusual frets cajole quickly regular pinto be
71,Customer#000000071,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",7,177108125403,0,HOUSEHOLD,"g courts across the regular, final pinto beans are blithely pending ac"
72,Customer#000000072,"putjlmskxE,zs,HqeIA9Wqu7dhgH5BVCwDwHHcf",2,127591449689,0,FURNITURE,ithely final foxes sleep always quickly bold accounts. final wat
73,Customer#000000073,8IhIxreu4Ug6tt5mog4,0,104734393214,4289,BUILDING,"usual, unusual packages sleep busily along the furiou"
74,Customer#000000074,"IkJHCA3ZThF7qL7VKcrU nRLl,kylf",4,141998627209,2764,MACHINERY,onic accounts. blithely slow packages would haggle carefully. qui
75,Customer#000000075,"Dh 6jZ,cwxWLKQfRKkiGrzv6pm",18,282478039025,6684,AUTOMOBILE,"instructions cajole even, even deposits. finally bold deposits use above the even pains. slyl"
76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",0,103497183044,5745,FURNITURE,pecial deposits. ironic ideas boost blithely according to the closely ironic theodolites! furiously final deposits n
77,Customer#000000077,4tAE5KdMFGD4byHtXF92vx,17,272693574674,1739,BUILDING,uffily silent requests. carefully ironic asymptotes among the ironic hockey players are carefully bli
78,Customer#000000078,"HBOta,ZNqpg3U2cSL0kbrftkPwzX",9,199607009191,7137,FURNITURE,ests. blithely bold pinto beans h
79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",15,251478504166,5121,MACHINERY,"es. packages haggle furiously. regular, special requests poach after the quickly express ideas. blithely pending re"
80,Customer#000000080,"K,vtXp8qYB",0,102671727101,7384,FURNITURE,tect among the dependencies. bold accounts engage closely even pinto beans. ca
81,Customer#000000081,SH6lPA7JiiNC6dNTrR,20,301652773269,2024,BUILDING,r packages. fluffily ironic requests cajole fluffily. ironically regular theodolit
82,Customer#000000082,"zhG3EZbap4c992Gj3bK,3Ne,Xn",18,281594425305,9468,AUTOMOBILE,s wake. bravely regular accounts are furiously. regula
83,Customer#000000083,HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf,22,328171544122,6464,BUILDING,"ccording to the quickly bold warhorses. final, regular foxes integrate carefully. bold packages nag blithely ev"
84,Customer#000000084,lpXz6Fwr9945rnbtMc8PlueilS1WmASr CB,11,215468183802,5175,FURNITURE,ly blithe foxes. special asymptotes haggle blithely against the furiously regular depo
85,Customer#000000085,siRerlDwiolhYR 8FgksoezycLj,5,157455858219,3387,FURNITURE,ronic ideas use above the slowly pendin
86,Customer#000000086,US6EGGHXbTTXPL9SBsxQJsuvy,0,106779512353,3306,HOUSEHOLD,quests. pending dugouts are carefully aroun
87,Customer#000000087,hgGhHVSWQl 6jZ6Ev,23,338698847053,6328,FURNITURE,hely ironic requests integrate according to the ironic accounts. slyly regular pla
88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,265162732566,8031,AUTOMOBILE,s are quickly above the quickly ironic instructions; even requests about the carefully final deposi
89,Customer#000000089,"dtR, y9JQWUO6FoJExyp8whOU",14,243944515404,1531,FURNITURE,counts are slyly beyond the slyly final accounts. quickly final ideas wake. r
90,Customer#000000090,QxCzH7VxxYUWwfL7,16,266034911238,7354,BUILDING,sly across the furiously even
91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,8,182394003677,4643,AUTOMOBILE,onic accounts. fluffily silent pinto beans boost blithely according to the fluffily exp
92,Customer#000000092,"obP PULk2LH LqNF,K9hcbNqnLAkJVsl5xqSrY,",2,124464168471,1183,MACHINERY,. pinto beans hang slyly final deposits. ac
93,Customer#000000093,EHXBr2QGdh,7,173593885266,2183,MACHINERY,press deposits. carefully regular platelets r
94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,9,199534998833,5500,HOUSEHOLD,"latelets across the bold, final requests sleep according to the fluffily bold accounts. unusual deposits amon"
95,Customer#000000095,"EU0xvmWvOmUUn5J,2z85DQyG7QCJ9Xq7",15,259232552929,5327,MACHINERY,ithely. ruthlessly final requests wake slyly alongside of the furiously silent pinto beans. even the
96,Customer#000000096,vWLOrmXhRR,8,184228451202,6324,AUTOMOBILE,press requests believe furiously. carefully final instructions snooze carefully.
97,Customer#000000097,"OApyejbhJG,0Iw3j rd1M",17,275889195638,2164,AUTOMOBILE,"haggle slyly. bold, special ideas are blithely above the thinly bold theo"
98,Customer#000000098,7yiheXNSpuEAwbswDW,12,228858456889,0,BUILDING,ages. furiously pending accounts are quickly carefully final foxes: busily pe
99,Customer#000000099,szsrOiPtCHVS97Lt,15,255152379232,4089,HOUSEHOLD,"cajole slyly about the regular theodolites! furiously bold requests nag along the pending, regular packages. somas"
100,Customer#000000100,fptUABXcmkC5Wx,20,307494454907,9890,FURNITURE,"was furiously fluffily quiet deposits. silent, pending requests boost against"
101,Customer#000000101,sMmL2rNeHDltovSm Y,2,125142983699,7471,MACHINERY,sleep. pending packages detect slyly ironic pack
102,Customer#000000102,UAtflJ06 fn9zBfKjInkQZlWtqaA,19,293249788538,8462,BUILDING,ously regular dependencies nag among the furiously express dinos. blithely final
103,Customer#000000103,"8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a",9,192161072107,2757,BUILDING,"furiously pending notornis boost slyly around the blithely ironic ideas? final, even instructions cajole fl"
104,Customer#000000104,9mcCK L7rt0SwiYtrbO88DiZS7U d7M,10,209662848065,0,FURNITURE,rate carefully slyly special pla
105,Customer#000000105,4iSJe4L SPjg7kJj98Yz3z0B,10,207935536417,9092,MACHINERY,l pains cajole even accounts. quietly final instructi
106,Customer#000000106,xGCOEAUjUNG,1,117519894627,3288,MACHINERY,"lose slyly. ironic accounts along the evenly regular theodolites wake about the special, final gifts."
107,Customer#000000107,"Zwg64UZ,q7GRqo3zm7P1tZIRshBDz",15,253365299919,2514,AUTOMOBILE,counts cajole slyly. regular requests wake. furiously regular deposits about the blithely final fo
108,Customer#000000108,GPoeEvpKo1,5,159086197526,2259,BUILDING,"refully ironic deposits sleep. regular, unusual requests wake slyly"
109,Customer#000000109,OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c,16,269924228153,0,BUILDING,es. fluffily final dependencies sleep along the blithely even pinto beans. final deposits haggle furiously furiou
110,Customer#000000110,mymPfgphaYXNYtk,10,208935362069,7463,AUTOMOBILE,"nto beans cajole around the even, final deposits. quickly bold packages according to the furiously regular dept"
111,Customer#000000111,CBSbPyOWRorloj2TBvrK9qp9tHBs,22,325822837528,6505,MACHINERY,ly unusual instructions detect fluffily special deposits-- theodolites nag carefully during the ironic dependencies
112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,19,292332628382,2953,FURNITURE,rmanently unusual multipliers. blithely ruthless deposits are furiously along the
113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",12,223029304756,2912,BUILDING,usly regular theodolites boost furiously doggedly pending instructio
114,Customer#000000114,xAt 5f5AlFIU,14,248052127646,1027,FURNITURE,der the carefully express theodolites are after the packages. packages are. bli
115,Customer#000000115,0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc,8,189716991843,7509,HOUSEHOLD,sits haggle above the carefully ironic theodolite
116,Customer#000000116,"yCuVxIgsZ3,qyK2rloThy3u",16,266323095792,8404,BUILDING,"as. quickly final sauternes haggle slyly carefully even packages. brave, ironic pinto beans are above the furious"
117,Customer#000000117,"uNhM,PzsRA3S,5Y Ge5Npuhi",24,344036313505,3951,FURNITURE,affix. instructions are furiously sl
118,Customer#000000118,OVnFuHygK9wx3xpg8,18,286399437051,3582,AUTOMOBILE,uick packages alongside of the furiously final deposits haggle above the fluffily even foxes. blithely dogged dep
119,Customer#000000119,M1ETOIecuvH8DtM0Y0nryXfW,7,176979198406,3930,FURNITURE,express ideas. blithely ironic foxes thrash. special acco
120,Customer#000000120,zBNna00AEInqyO1,12,222915341571,364,MACHINERY,quickly. slyly ironic requests cajole blithely furiously final dependen
121,Customer#000000121,tv nCR2YKupGN73mQudO,17,274119902959,6428,BUILDING,uriously stealthy ideas. carefully final courts use carefully
122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,3,137026944520,7865,HOUSEHOLD,the special packages hinder blithely around the permanent requests. bold depos
123,Customer#000000123,YsOnaaER8MkvK5cpf4VSlq,5,158171511168,5898,BUILDING,"ependencies. regular, ironic requests are fluffily regu"
124,Customer#000000124,"aTbyVAW5tCd,v09O",18,281837507809,1842,AUTOMOBILE,le fluffily even dependencies. quietly s
125,Customer#000000125,",wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y",19,292619963120,0,FURNITURE,x-ray finally after the packages? regular requests c
126,Customer#000000126,ha4EHmbx3kg DYCsP6DFeUOmavtQlHhcfaqr,22,327559147592,1001,HOUSEHOLD,"s about the even instructions boost carefully furiously ironic pearls. ruthless,"
127,Customer#000000127,Xyge4DX2rXKxXyye1Z47LeLVEYMLf4Bfcj,21,311016722951,9281,MACHINERY,"ic, unusual theodolites nod silently after the final, ironic instructions: pending r"
128,Customer#000000128,AmKUMlJf2NRHcKGmKjLS,4,142808748044,0,HOUSEHOLD,ing packages integrate across the slyly unusual dugouts. blithely silent ideas sublate carefully. blithely expr
129,Customer#000000129,q7m7rbMM0BpaCdmxloCgBDRCleXsXkdD8kf,7,174151487416,9127,HOUSEHOLD,unusual deposits boost carefully furiously silent ideas. pending accounts cajole slyly across
130,Customer#000000130,RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH,9,191909939281,5074,HOUSEHOLD,ix slowly. express packages along the furiously ironic requests integrate daringly deposits. fur
131,Customer#000000131,"jyN6lAjb1FtH10rMC,XzlWyCBrg75",11,218402103572,8596,HOUSEHOLD,jole special packages. furiously final dependencies about the furiously speci
132,Customer#000000132,QM5YabAsTLp9,4,146921509717,163,HOUSEHOLD,uickly carefully special theodolites. carefully regular requests against the blithely unusual instructions
133,Customer#000000133,IMCuXdpIvdkYO92kgDGuyHgojcUs88p,17,274089978430,2315,AUTOMOBILE,"t packages. express pinto beans are blithely along the unusual, even theodolites. silent packages use fu"
134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,11,212001595932,4609,BUILDING,yly fluffy foxes boost final ideas. b
135,Customer#000000135,"oZK,oC0 fdEpqUML",19,293992936241,8733,FURNITURE,the slyly final accounts. deposits cajole carefully. carefully sly packag
136,Customer#000000136,"QoLsJ0v5C1IQbh,DS1",7,175012104726,0,FURNITURE,"ackages sleep ironic, final courts. even requests above the blithely bold requests g"
137,Customer#000000137,cdW91p92rlAEHgJafqYyxf1Q,16,267774095654,7838,HOUSEHOLD,carefully regular theodolites use. silent dolphins cajo
138,Customer#000000138,5uyLAeY7HIGZqtu66Yn08f,5,153948604589,431,MACHINERY,ts doze on the busy ideas. regular
139,Customer#000000139,3ElvBwudHKL02732YexGVFVt,9,191403521403,7898,MACHINERY,"nstructions. quickly ironic ideas are carefully. bold,"
140,Customer#000000140,"XRqEPiKgcETII,iOLDZp5jA",4,142738856505,9963,MACHINERY,ies detect slyly ironic accounts. slyly ironic theodolites hag
141,Customer#000000141,"5IW,WROVnikc3l7DwiUDGQNGsLBGOL6Dc0",1,119362956204,6706,FURNITURE,packages nag furiously. carefully unusual accounts snooze according to the fluffily regular pinto beans. slyly spec
142,Customer#000000142,"AnJ5lxtLjioClr2khl9pb8NLxG2,",9,194074252584,2210,AUTOMOBILE,". even, express theodolites upo"
143,Customer#000000143,681r22uL452zqk 8By7I9o9enQfx0,16,263144067725,2187,MACHINERY,across the blithely unusual requests haggle theodo
144,Customer#000000144,VxYZ3ebhgbltnetaGjNC8qCccjYU05 fePLOno8y,1,117173794478,6417,MACHINERY,"ges. slyly regular accounts are slyly. bold, idle reque"
145,Customer#000000145,kQjHmt2kcec cy3hfMh969u,13,235624448454,9749,HOUSEHOLD,"ests? express, express instructions use. blithely fina"
146,Customer#000000146,"GdxkdXG9u7iyI1,,y5tq4ZyrcEy",3,138357233223,3329,FURNITURE,ffily regular dinos are slyly unusual requests. slyly specia
147,Customer#000000147,"6VvIwbVdmcsMzuu,C84GtBWPaipGfi7DV",18,288031874335,8071,AUTOMOBILE,ress packages above the blithely regular packages sleep fluffily blithely ironic accounts.
148,Customer#000000148,BhSPlEWGvIJyT9swk vCWE,11,215624986636,2136,HOUSEHOLD,ing to the carefully ironic requests. carefully regular dependencies about the theodolites wake furious
149,Customer#000000149,3byTHCp2mNLPigUrrq,19,297974396760,8960,AUTOMOBILE,al instructions haggle against the slyly bold w
150,Customer#000000150,zeoGShTjCwGPplOWFkLURrh41O0AZ8dwNEEN4,18,283285647630,3849,MACHINERY,ole blithely among the furiously pending packages. furiously bold ideas wake fluffily ironic idea
151,Customer#000000151,"LlyEtNEXT6kkZ,kGP46H",19,294331976339,5187,HOUSEHOLD,regular dugouts: blithely even dolphins cajole furiously carefull
152,Customer#000000152,PDrllSkScKLh4lr19gmUZnK,8,185858503926,1215,BUILDING,ously ironic accounts. furiously even accounts accord
153,Customer#000000153,kDzx11sIjjWJm1,6,163423162815,5454,HOUSEHOLD,promise carefully. unusual deposits x-ray. carefully regular tithes u
154,Customer#000000154,2LAlU fDHkOqbXjHHDqw1mJQNC,19,295228356914,4695,FURNITURE,nic packages haggle blithely across the
155,Customer#000000155,"l,sSphiStMgdrxpxi",0,105662828705,5903,AUTOMOBILE,"sleep ironic, bold requests. regular packages on the quiet dependencies"
156,Customer#000000156,5OS0edX2Y6B1cf9wJNuOQWgrrZccXk9,9,197239133943,9303,AUTOMOBILE,regular foxes above the theodolites haggle
157,Customer#000000157,HGEouzCcFrNd nBAdsCRjsMxKOvYZdbwA7he5w9v,15,252074421556,9769,BUILDING,pinto beans against the carefully bold requests wake quickly alongside of the final accounts. accounts
158,Customer#000000158,"2HaYxi0J1620aoI1CdFyrW,rWOy",10,203836801329,6161,AUTOMOBILE,ecoys. fluffily quick requests use flu
159,Customer#000000159,"KotsdDO6EHnysVu922s6pjZpG,vlT",10,208886682668,2060,HOUSEHOLD,cingly express somas haggle above the theodolites. pinto beans use special theodolites. theodolites sleep
160,Customer#000000160,5soVQ3dOCRBWBS,13,234286664806,4363,MACHINERY,olites. silently ironic accounts cajole furious
161,Customer#000000161,"2oRkx,NtjFUh",7,178057182449,3714,MACHINERY,ptotes nag carefully instructions. silent accounts are. furiously even accounts alongside
162,Customer#000000162,JE398sXZt2QuKXfJd7poNpyQFLFtth,8,181311012267,6269,MACHINERY,accounts along the doggedly special asymptotes boost blithely during the quickly regular theodolites. slyly
163,Customer#000000163,OgrGcOnm4whd0f,21,318633494121,2949,FURNITURE,nag furiously furiously final requests. slyly s
164,Customer#000000164,YDW51PBWLXLnbQlKC,4,145656389768,208,HOUSEHOLD,"ironic, special pinto beans. ironic"
165,Customer#000000165,8pc6kwBmwBdEnfVP53aqL9DM4LymC4,0,109272095601,3350,HOUSEHOLD,"requests. final ideas cajole quickly at the special, ironic acco"
166,Customer#000000166,15HWGtwoP77EJfd95HxtMSTZUelV8NOKne2,10,203205305920,2042,FURNITURE,the packages. blithely final packages are furiously unusual asymptotes. regular frets promise carefully u
167,Customer#000000167,QNc2eOlRIzL6jpthwgDuB866uCIUPiOX,5,152883955501,1468,AUTOMOBILE,espite the ironic excuses. furiously final deposits wake slyly. slyly ex
168,Customer#000000168,"GDcL5qU86P8,oaTwVBCLE6asM8rlxpE,211uziU",12,223549845361,0,FURNITURE,blithely final accounts sleep quickly along the regular ideas. furiously sly foxes nag across the
169,Customer#000000169,NjhmHa7xrcjE,18,283624993728,4484,FURNITURE,fully unusual pinto beans. blithely express asymptotes lose carefully regular instructions? accounts b
170,Customer#000000170,5QmxmYubNhn6HAgLwTvphevM3OmpZTGsM,15,258799849818,7688,BUILDING,regular requests. carefully regu
171,Customer#000000171,RIhjJCrth89EU7xRSvN,7,175136037451,2380,MACHINERY,"ly furiously final requests. slyly final requests wake silently pending, silent accounts. exp"
172,Customer#000000172,KwgdKUL1G2WacsMNF50yX,22,321789641847,1134,MACHINERY,"losely regular, unusual instructions."
173,Customer#000000173,"Aue7KVz,FinSHpov Vk5ed,wSQ2BRSioJ0",9,194431968008,846,BUILDING,s pinto beans use thinly slyly regular packages. instructions print along the s
174,Customer#000000174,R5 fCPMSeDXtUpp5Ax,23,338454558799,1945,FURNITURE,oldly even requests haggle quickly blithely ironic accounts. idly final foxes doze slyly pending dep
175,Customer#000000175,8YK1ZyTqoY3wMWnExl4itPMLL793GpEZb6T,10,204276179922,1975,FURNITURE,ly final platelets are final pinto b
