CUSTOMER_SK,C_CUSTKEY,C_NAME,C_ADDRESS,C_NATIONKEY,C_PHONE,C_ACCTBAL,C_MKTSEGMENT,START_DATE,END_DATE,IS_CURRENT,RECORD_SOURCE
47,47,Customer#000000047,b0UgocSqEW5 gdVbhNT,2,124272719466,275.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
48,48,Customer#000000048,0UU iPhBupFvemNB,0,105083485882,3793.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
49,49,Customer#000000049,"cNgAeX7Fqrdf7HQN9EwjUa4nxT,68L FKAxzl",10,209086314424,4574.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
50,50,Customer#000000050,9SzDYlkzxByyJ1QeTI o,6,166581123221,4266.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
51,51,Customer#000000051,"uR,wEaiTvo4",12,223448854251,856.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
52,52,Customer#000000052,7 QOqGqqSy9jfV51BC71jcHJSD0,11,211862845998,5630.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
53,53,Customer#000000053,HnaxHzTfFTZs8MuCpJyTbZ47Cm4wFOOgib,15,251688525363,4114.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
54,54,Customer#000000054,",k4vf 5vECGWFy,hosTE,",4,147763704745,869.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
55,55,Customer#000000055,zIRBR4KNEl HzaiV3a i9n6elrxzDEh8r8pDom,10,201804408525,4572.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
56,56,Customer#000000056,BJYZYJQk4yD5B,10,208956856920,6531.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
57,57,Customer#000000057,97XYbsuOPRXPWU,21,318353061650,4152.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
58,58,Customer#000000058,g9ap7Dk1Sv9fcXEWjpMYpBZIRUohi T,13,232444932508,6478.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
59,59,Customer#000000059,zLOCP0wh92OtBihgspOGl4,1,113555843112,3459.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
60,60,Customer#000000060,FyodhjwMChsZmUz7Jz0H,12,224805755866,2742.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
61,61,Customer#000000061,9kndve4EAJxhg3veF BfXr7AqOsT39o gtqjaYE,17,276265598599,1536.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
62,62,Customer#000000062,"upJK2Dnw13,",7,173619787059,596.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
63,63,Customer#000000063,IXRSpVWWZraKII,21,319525529584,9331.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
64,64,Customer#000000064,"MbCeGY20kaKK3oalJD,OT",3,135587317204,0.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
65,65,Customer#000000065,"RGT yzQ0y4l0H90P783LG4U95bXQFDRXbWa1sl,X",23,337336235267,8795.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
66,66,Customer#000000066,XbsEqXH1ETbJYYtA1A,22,322133735094,243.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
67,67,Customer#000000067,rfG0cOgtr5W8 xILkwp9fpCS8,9,194031144356,8167.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
68,68,Customer#000000068,"o8AibcCRkXvQFh8hF,7o",12,229188322411,6853.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
69,69,Customer#000000069,Ltx17nO9Wwhtdbe9QZVxNgP98V7xW97uvSH1prEw,9,192259785670,1709.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
70,70,Customer#000000070,mFowIuhnHjp2GjCiYYavkW kUwOjIaTCQ,22,328281072832,4868.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
71,71,Customer#000000071,"TlGalgdXWBmMV,6agLyWYDyIz9MKzcY8gl,w6t1B",7,177108125403,0.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
72,72,Customer#000000072,"putjlmskxE,zs,HqeIA9Wqu7dhgH5BVCwDwHHcf",2,127591449689,0.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
73,73,Customer#000000073,8IhIxreu4Ug6tt5mog4,0,104734393214,4289.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
74,74,Customer#000000074,"IkJHCA3ZThF7qL7VKcrU nRLl,kylf",4,141998627209,2764.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
75,75,Customer#000000075,"Dh 6jZ,cwxWLKQfRKkiGrzv6pm",18,282478039025,6684.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
76,76,Customer#000000076,"m3sbCvjMOHyaOofH,e UkGPtqc4",0,103497183044,5745.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
77,77,Customer#000000077,4tAE5KdMFGD4byHtXF92vx,17,272693574674,1739.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
78,78,Customer#000000078,"HBOta,ZNqpg3U2cSL0kbrftkPwzX",9,199607009191,7137.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
79,79,Customer#000000079,"n5hH2ftkVRwW8idtD,BmM2",15,251478504166,5121.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
80,80,Customer#000000080,"K,vtXp8qYB",0,102671727101,7384.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
81,81,Customer#000000081,SH6lPA7JiiNC6dNTrR,20,301652773269,2024.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
82,82,Customer#000000082,"zhG3EZbap4c992Gj3bK,3Ne,Xn",18,281594425305,9468.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
83,83,Customer#000000083,HnhTNB5xpnSF20JBH4Ycs6psVnkC3RDf,22,328171544122,6464.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
84,84,Customer#000000084,lpXz6Fwr9945rnbtMc8PlueilS1WmASr CB,11,215468183802,5175.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
85,85,Customer#000000085,siRerlDwiolhYR 8FgksoezycLj,5,157455858219,3387.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
86,86,Customer#000000086,US6EGGHXbTTXPL9SBsxQJsuvy,0,106779512353,3306.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
87,87,Customer#000000087,hgGhHVSWQl 6jZ6Ev,23,338698847053,6328.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
88,88,Customer#000000088,wtkjBN9eyrFuENSMmMFlJ3e7jE5KXcg,16,265162732566,8031.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
89,89,Customer#000000089,"dtR, y9JQWUO6FoJExyp8whOU",14,243944515404,1531.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
90,90,Customer#000000090,QxCzH7VxxYUWwfL7,16,266034911238,7354.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
91,91,Customer#000000091,S8OMYFrpHwoNHaGBeuS6E 6zhHGZiprw1b7 q,8,182394003677,4643.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
92,92,Customer#000000092,"obP PULk2LH LqNF,K9hcbNqnLAkJVsl5xqSrY,",2,124464168471,1183.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
93,93,Customer#000000093,EHXBr2QGdh,7,173593885266,2183.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
94,94,Customer#000000094,IfVNIN9KtkScJ9dUjK3Pg5gY1aFeaXewwf,9,199534998833,5500.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
95,95,Customer#000000095,"EU0xvmWvOmUUn5J,2z85DQyG7QCJ9Xq7",15,259232552929,5327.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
96,96,Customer#000000096,vWLOrmXhRR,8,184228451202,6324.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
97,97,Customer#000000097,"OApyejbhJG,0Iw3j rd1M",17,275889195638,2164.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
98,98,Customer#000000098,7yiheXNSpuEAwbswDW,12,228858456889,0.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
99,99,Customer#000000099,szsrOiPtCHVS97Lt,15,255152379232,4089.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
100,100,Customer#000000100,fptUABXcmkC5Wx,20,307494454907,9890.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
101,101,Customer#000000101,sMmL2rNeHDltovSm Y,2,125142983699,7471.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
102,102,Customer#000000102,UAtflJ06 fn9zBfKjInkQZlWtqaA,19,293249788538,8462.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
103,103,Customer#000000103,"8KIsQX4LJ7QMsj6DrtFtXu0nUEdV,8a",9,192161072107,2757.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
104,104,Customer#000000104,9mcCK L7rt0SwiYtrbO88DiZS7U d7M,10,209662848065,0.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
105,105,Customer#000000105,4iSJe4L SPjg7kJj98Yz3z0B,10,207935536417,9092.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
106,106,Customer#000000106,xGCOEAUjUNG,1,117519894627,3288.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
107,107,Customer#000000107,"Zwg64UZ,q7GRqo3zm7P1tZIRshBDz",15,253365299919,2514.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
108,108,Customer#000000108,GPoeEvpKo1,5,159086197526,2259.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
109,109,Customer#000000109,OOOkYBgCMzgMQXUmkocoLb56rfrdWp2NE2c,16,269924228153,0.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
110,110,Customer#000000110,mymPfgphaYXNYtk,10,208935362069,7463.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
111,111,Customer#000000111,CBSbPyOWRorloj2TBvrK9qp9tHBs,22,325822837528,6505.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
112,112,Customer#000000112,RcfgG3bO7QeCnfjqJT1,19,292332628382,2953.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
113,113,Customer#000000113,"eaOl5UBXIvdY57rglaIzqvfPD,MYfK",12,223029304756,2912.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
114,114,Customer#000000114,xAt 5f5AlFIU,14,248052127646,1027.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
115,115,Customer#000000115,0WFt1IXENmUT2BgbsB0ShVKJZt0HCBCbFl0aHc,8,189716991843,7509.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
116,116,Customer#000000116,"yCuVxIgsZ3,qyK2rloThy3u",16,266323095792,8404.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
117,117,Customer#000000117,"uNhM,PzsRA3S,5Y Ge5Npuhi",24,344036313505,3951.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
118,118,Customer#000000118,OVnFuHygK9wx3xpg8,18,286399437051,3582.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
119,119,Customer#000000119,M1ETOIecuvH8DtM0Y0nryXfW,7,176979198406,3930.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
120,120,Customer#000000120,zBNna00AEInqyO1,12,222915341571,364.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
121,121,Customer#000000121,tv nCR2YKupGN73mQudO,17,274119902959,6428.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
122,122,Customer#000000122,yp5slqoNd26lAENZW3a67wSfXA6hTF,3,137026944520,7865.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
123,123,Customer#000000123,YsOnaaER8MkvK5cpf4VSlq,5,158171511168,5898.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
124,124,Customer#000000124,"aTbyVAW5tCd,v09O",18,281837507809,1842.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
125,125,Customer#000000125,",wSZXdVR xxIIfm9s8ITyLl3kgjT6UC07GY0Y",19,292619963120,0.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
126,126,Customer#000000126,ha4EHmbx3kg DYCsP6DFeUOmavtQlHhcfaqr,22,327559147592,1001.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
127,127,Customer#000000127,Xyge4DX2rXKxXyye1Z47LeLVEYMLf4Bfcj,21,311016722951,9281.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
128,128,Customer#000000128,AmKUMlJf2NRHcKGmKjLS,4,142808748044,0.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
129,129,Customer#000000129,q7m7rbMM0BpaCdmxloCgBDRCleXsXkdD8kf,7,174151487416,9127.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
130,130,Customer#000000130,RKPx2OfZy0Vn 8wGWZ7F2EAvmMORl1k8iH,9,191909939281,5074.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
131,131,Customer#000000131,"jyN6lAjb1FtH10rMC,XzlWyCBrg75",11,218402103572,8596.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
132,132,Customer#000000132,QM5YabAsTLp9,4,146921509717,163.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
133,133,Customer#000000133,IMCuXdpIvdkYO92kgDGuyHgojcUs88p,17,274089978430,2315.00,AUTOMOBILE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
134,134,Customer#000000134,sUiZ78QCkTQPICKpA9OBzkUp2FM,11,212001595932,4609.00,BUILDING,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
135,135,Customer#000000135,"oZK,oC0 fdEpqUML",19,293992936241,8733.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
136,136,Customer#000000136,"QoLsJ0v5C1IQbh,DS1",7,175012104726,0.00,FURNITURE,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
137,137,Customer#000000137,cdW91p92rlAEHgJafqYyxf1Q,16,267774095654,7838.00,HOUSEHOLD,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
138,138,Customer#000000138,5uyLAeY7HIGZqtu66Yn08f,5,153948604589,431.00,MACHINERY,1990-01-01 00:00:00.000,9999-12-31 23:59:59.000,true,INITIAL_LOAD
